# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
HHS Unveils AI Strategy to Transform Agency Operations | HHS.gov,/press-room/hhs-unveils-ai-strategy-to-transform-agency-operations.html,180,236,289,342,46,71,0,0,0,0,521,663
HHS Announces Crackdown on Health Data Blocking | HHS.gov,/press-room/hhs-crackdown-health-data-blocking.html,168,212,297,382,55,68,0,0,0,0,515,662
MAHA Commission Unveils Landmark Report Exposing Root Causes of Childhood Chronic Disease Crisis | HHS.gov,/press-room/maha-commission-childhood-chronic-disease-root-causes.html,138,162,313,382,48,53,9,9,0,0,506,606
Secretary Kennedy Convenes Lyme Disease Patients and Providers to Announce New Diagnostic Efforts | HHS.gov,/press-room/secretary-kennedy-convenes-lyme-disease-patients-providers-announce-new-diagnostic-efforts.html,152,197,302,348,15,27,34,36,0,0,501,608
HHS Details Actions Taken to Support Americans of Faith in New Report | HHS.gov,/press-room/hhs-details-actions-taken-in-acb-report.html,175,189,248,298,50,56,26,34,0,0,493,577
HHS Takes Bold Step to Restore Public Trust in Vaccines by Reconstituting ACIP | HHS.gov,/press-room/hhs-restore-public-trust-vaccines-acip.html,163,186,273,353,50,63,0,0,0,0,489,609
"HHS Advances Women’s Health, Removes Misleading FDA Warnings on Hormone Replacement Therapy | HHS.gov",/press-room/hhs-advances-womens-health-removes-misleading-fda-warnings-hormone-replacement-therapy.html,169,214,279,359,21,28,25,26,0,0,490,627
HHS Bans Illegal Aliens from Accessing its Taxpayer-Funded Programs | HHS.gov,/press-room/prwora-hhs-bans-illegal-aliens-accessing-taxpayer-funded-programs.html,256,296,173,482,47,67,0,0,0,0,471,845
Secretary Kennedy and Secretary McMahon Celebrate Medical School Commitments to Increase Nutrition Training for Future Doctors | HHS.gov,/press-room/sec-kennedy-sec-mcmahon-celebrate-med-school-commitments-to-increase-nutrition-training-for-future-doctors.html,254,417,138,180,41,54,0,0,31,31,457,682
HHS Releases Comprehensive Review of Medical Interventions for Children and Adolescents with Gender Dysphoria | HHS.gov,/press-room/gender-dysphoria-report-release.html,199,201,230,285,28,42,0,0,0,0,453,528
