# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260601-20260630
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Organic Social,Organic Social,Referral,Referral,SMS,SMS,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,69114,907588,60703,99950,13150,21156,10208,17577,6011,8807,161955,1067320,Grand total
Press Room | HHS.gov,/press-room/index.html,20270,784941,3345,18322,79,6052,816,2598,26,33,24514,815197
ACIP Recommends COVID-19 Immunization Based on Individual Decision-making | HHS.gov,/press-room/acip-recommends-covid19-vaccination-individual-decision-making.html,109,125,133,151,0,0,25,35,0,0,265,311
Trump Administration Puts 46 States and Territories on Notice to Remove Gender Ideology Content from Sex Ed Materials | HHS.gov,/press-room/hhs-acf-states-remove-gender-ideology-sex-ed.html,95,102,163,188,0,0,6,7,0,0,263,297
HHS Announces Request for Information to Harness Artificial Intelligence to Deflate Health Care Costs and Make America Healthy Again | HHS.gov,/press-room/hhs-ai-rfi.html,109,122,130,159,0,0,19,24,0,0,260,312
HHS’ Cleanup of Federal Nursing Home Minimum Staffing Standards Rule Expands Access to Rural and Tribal Health Care | HHS.gov,/press-room/hhs-cleanup-federal-nursing-home-minimum-staffing-standards-rule-expands-access-rural-tribal-health-care.html,97,103,144,233,0,0,10,11,0,0,257,362
Renowned Epidemiologist and Biostatistician Martin Kulldorff Appointed to Senior HHS Role | HHS.gov,/press-room/renowned-epidemiologist-and-biostatistician-martin-kulldorff-appointed-to-senior-hhs-role.html,88,136,155,197,0,0,13,14,0,0,256,347
FDA Moves to Accelerate Biosimilar Development and Lower Drug Costs | HHS.gov,/press-room/fda-accelerates-biosimilar-development-and-lowers-drug-costs.html,134,157,55,68,0,0,60,79,0,0,253,311
WTAS: FDA Launches Framework for Accelerating Development of Individualized Therapies for Ultra-Rare Diseases | HHS.gov,/press-room/wtas-fda-launches-framework-accelerating-therapies-ultra-rare-diseases.html,195,636,59,63,0,0,0,0,0,0,254,699
HHS Doubles AI-Backed Childhood Cancer Research Funding | HHS.gov,/press-room/hhs-doubles-ai-backed-childhood-cancer-research-funding.html,95,102,120,147,33,34,0,0,0,0,247,283
"HHS Replaces Legacy COBOL Payroll System, Delivering Faster, More Reliable Services | HHS.gov",/press-room/hhs-replaces-legacy-payroll-system-improving-service-delivery.html,196,640,29,32,0,0,15,16,0,0,238,688
HHS to Close Biden-Era Loophole That Let States Pay Child Care Providers Without Counting Attendance | HHS.gov,/press-room/hhs-close-biden-era-loophole-states-pay-child-care-providers-without-counting-attendance.html,170,182,59,76,0,0,11,12,0,0,238,270
Secretary Kennedy Appoints New Chair and Ten New Members to Federal Alzheimer’s Advisory Council | HHS.gov,/press-room/hhs-kennedy-appoints-new-chair-ten-members-federal-alzheimers-advisory-council.html,173,184,61,76,0,0,6,7,0,0,240,267
